Catchment Information,,,,Reservoir Catchment Descriptors ,,,,,,,Signatures,,,,
Sample,Gauge ID,BFI,Gauge Area,Total Reservoir Catchment Area ,Upstream Reservoir Count,Upstream Capacity (Ml),Contributing Area (%) ,Use,Minimum Distance to Reservoir (m),Normalised Upstream Capacity (mm),WB,SFDC,LFV,E,SWRR
Benchmark,31023,0.13,4.2,NA,NA,NA,NA,NA,NA,NA,0.038,0.374,0.81,2.764,0.233
Benchmark,32003,0.48,70.5,NA,NA,NA,NA,NA,NA,NA,0.138,0.191,0.633,1.639,0.321
Benchmark,33018,0.54,132.5,NA,NA,NA,NA,NA,NA,NA,0.136,0.142,0.497,1.067,0.339
Benchmark,33019,0.78,311.4,NA,NA,NA,NA,NA,NA,NA,0.137,0.118,0.262,1.811,0.381
Benchmark,33029,0.84,96.1,NA,NA,NA,NA,NA,NA,NA,0.069,0.128,0.174,1.188,0.355
Benchmark,34011,0.83,167,NA,NA,NA,NA,NA,NA,NA,-0.02,0.094,0.435,0.626,0.473
Benchmark,36003,0.63,54.6,NA,NA,NA,NA,NA,NA,NA,0.14,0.142,0.577,0.785,0.364
Benchmark,36009,0.32,25.6,NA,NA,NA,NA,NA,NA,NA,0.127,0.086,0.566,0.925,0.211
Benchmark,36010,0.23,27.7,NA,NA,NA,NA,NA,NA,NA,0.144,0.157,0.677,1.523,0.203
Benchmark,37005,0.52,236.2,NA,NA,NA,NA,NA,NA,NA,0.16,0.142,0.518,1.289,0.312
Benchmark,38026,0.38,52.6,NA,NA,NA,NA,NA,NA,NA,0.136,0.141,0.494,1.774,0.270
Benchmark,39017,0.17,21,NA,NA,NA,NA,NA,NA,NA,0.056,0.164,0.755,1.248,0.175
Benchmark,39019,0.96,235.4,NA,NA,NA,NA,NA,NA,NA,0.015,0.149,0.575,0.867,0.716
Benchmark,39020,0.93,107.3,NA,NA,NA,NA,NA,NA,NA,0.095,0.172,0.256,0.689,0.480
Benchmark,39025,0.54,148.2,NA,NA,NA,NA,NA,NA,NA,-0.019,0.117,0.397,1.353,0.329
Benchmark,39028,0.95,100.1,NA,NA,NA,NA,NA,NA,NA,-0.111,0.172,0.363,0.861,0.594
Benchmark,39034,0.71,427.3,NA,NA,NA,NA,NA,NA,NA,0.118,0.146,0.306,1.277,0.355
Benchmark,39065,0.98,11,NA,NA,NA,NA,NA,NA,NA,-0.091,0.166,0.535,1.216,0.911
Benchmark,40005,0.24,277.6,NA,NA,NA,NA,NA,NA,NA,0.067,0.167,0.696,1.289,0.180
Benchmark,40011,0.7,341.4,NA,NA,NA,NA,NA,NA,NA,0.047,0.148,0.51,0.845,0.484
Benchmark,41022,0.35,52.7,NA,NA,NA,NA,NA,NA,NA,-0.014,0.16,0.587,1.447,0.298
Benchmark,41025,0.23,91.9,NA,NA,NA,NA,NA,NA,NA,0.104,0.183,0.699,1.471,0.240
Benchmark,41027,0.6,35.8,NA,NA,NA,NA,NA,NA,NA,0.044,0.158,0.529,1.024,0.478
Benchmark,41029,0.38,40.9,NA,NA,NA,NA,NA,NA,NA,0.013,0.136,0.506,1.375,0.266
Benchmark,42003,0.36,100.3,NA,NA,NA,NA,NA,NA,NA,-0.016,0.107,0.471,1.215,0.335
Benchmark,42008,0.96,73.2,NA,NA,NA,NA,NA,NA,NA,-0.13,0.085,0.393,0.96,0.673
Benchmark,42010,0.96,329.6,NA,NA,NA,NA,NA,NA,NA,0.221,0.114,0.513,0.701,0.792
Benchmark,42016,0.98,234.1,NA,NA,NA,NA,NA,NA,NA,0.257,0.104,0.574,0.58,0.873
Benchmark,43014,0.89,85.9,NA,NA,NA,NA,NA,NA,NA,0.026,0.139,0.68,0.699,0.704
Benchmark,44006,0.87,12.1,NA,NA,NA,NA,NA,NA,NA,-0.071,0.159,0.408,0.986,0.623
Benchmark,44009,0.94,8,NA,NA,NA,NA,NA,NA,NA,1.029,0.152,0.284,1.051,0.589
Benchmark,45005,0.53,202.8,NA,NA,NA,NA,NA,NA,NA,0.024,0.206,0.629,0.91,0.559
Benchmark,46003,0.52,250,NA,NA,NA,NA,NA,NA,NA,0.019,0.117,0.432,1.159,0.590
Benchmark,46005,0.44,22,NA,NA,NA,NA,NA,NA,NA,0.046,0.119,0.563,0.986,0.705
Benchmark,47009,0.61,37.4,NA,NA,NA,NA,NA,NA,NA,0.028,0.143,0.32,1.334,0.431
Benchmark,48003,0.67,88.9,NA,NA,NA,NA,NA,NA,NA,0.001,0.121,0.254,1.444,0.504
Benchmark,48004,0.71,25.4,NA,NA,NA,NA,NA,NA,NA,0.081,0.119,0.247,1.009,0.552
Benchmark,49004,0.68,40.8,NA,NA,NA,NA,NA,NA,NA,0.035,0.123,0.099,1.87,0.380
Benchmark,52010,0.48,144.1,NA,NA,NA,NA,NA,NA,NA,0.066,0.158,0.375,1.771,0.355
Benchmark,52016,0.71,15.7,NA,NA,NA,NA,NA,NA,NA,-0.012,0.146,0.391,1.217,0.501
Benchmark,53006,0.39,155.6,NA,NA,NA,NA,NA,NA,NA,0.043,0.144,0.558,1.445,0.330
Benchmark,53008,0.58,302.5,NA,NA,NA,NA,NA,NA,NA,0.058,0.166,0.224,1.749,0.280
Benchmark,53009,0.62,73.6,NA,NA,NA,NA,NA,NA,NA,0.061,0.132,0.336,1.38,0.416
Benchmark,53017,0.45,47.6,NA,NA,NA,NA,NA,NA,NA,0.049,0.127,0.383,1.713,0.298
Benchmark,54008,0.56,1124,NA,NA,NA,NA,NA,NA,NA,0.058,0.115,0.316,1.095,0.337
Benchmark,54018,0.51,168.6,NA,NA,NA,NA,NA,NA,NA,0.059,0.146,0.369,1.283,0.320
Benchmark,54025,0.41,53.3,NA,NA,NA,NA,NA,NA,NA,0.019,0.11,0.404,1.097,0.457
Benchmark,54034,0.41,44.3,NA,NA,NA,NA,NA,NA,NA,0.056,0.126,0.532,1.049,0.303
Benchmark,54036,0.56,87.6,NA,NA,NA,NA,NA,NA,NA,0.051,0.103,0.429,0.598,0.352
Benchmark,55014,0.65,202.6,NA,NA,NA,NA,NA,NA,NA,0.056,0.116,0.211,0.973,0.405
Benchmark,55016,0.38,357.8,NA,NA,NA,NA,NA,NA,NA,0.075,0.109,0.391,1.328,0.425
Benchmark,55026,0.37,172.1,NA,NA,NA,NA,NA,NA,NA,0.05,0.093,0.502,1.078,0.603
Benchmark,55029,0.51,355,NA,NA,NA,NA,NA,NA,NA,0.046,0.081,0.414,1.315,0.378
Benchmark,56013,0.45,63.6,NA,NA,NA,NA,NA,NA,NA,0.09,0.127,0.398,1.201,0.500
Benchmark,57004,0.4,103.3,NA,NA,NA,NA,NA,NA,NA,-0.009,0.142,0.601,1.143,0.590
Benchmark,60002,0.42,298.8,NA,NA,NA,NA,NA,NA,NA,0.088,0.107,0.502,1.194,0.558
Benchmark,60003,0.55,216.4,NA,NA,NA,NA,NA,NA,NA,0.12,0.089,0.349,1.079,0.496
Benchmark,62001,0.54,898,NA,NA,NA,NA,NA,NA,NA,0.094,0.121,0.33,1.083,0.496
Benchmark,65001,0.32,67.3,NA,NA,NA,NA,NA,NA,NA,0.069,0.089,0.684,0.901,0.794
Benchmark,65005,0.54,15.6,NA,NA,NA,NA,NA,NA,NA,0.175,0.108,0.397,1.156,0.564
Benchmark,66004,0.82,63.2,NA,NA,NA,NA,NA,NA,NA,-0.025,0.144,0.343,0.665,0.475
Benchmark,67018,0.28,53.8,NA,NA,NA,NA,NA,NA,NA,0.084,0.127,0.741,1.185,0.722
Benchmark,68005,0.52,202,NA,NA,NA,NA,NA,NA,NA,0.057,0.17,0.308,1.606,0.310
